SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_YEAR,age_years,employment_years,days_employed_anom_flag,credit_income_ratio,annuity_income_ratio,credit_goods_ratio,employment_age_ratio,bureau_records_count,bureau_active_credit_count,bureau_closed_credit_count,bureau_bad_debt_credit_count,bureau_sold_credit_count,bureau_overdue_credit_count,bureau_credit_day_overdue_max,bureau_credit_day_overdue_mean,bureau_total_credit_sum,bureau_total_credit_debt_sum,bureau_total_credit_overdue_sum,bureau_total_credit_limit_sum,bureau_total_annuity_sum,bureau_total_prolong_sum,bureau_total_max_overdue_sum,bureau_days_credit_mean,bureau_days_credit_min,bureau_days_credit_max,bureau_days_credit_update_mean,bureau_future_enddate_mean,bureau_unique_credit_types,bureau_unique_currencies,bureau_debt_to_credit_ratio,prev_app_count,prev_approved_count,prev_refused_count,prev_amt_application_sum,prev_amt_credit_sum,prev_amt_annuity_sum,prev_hour_appr_mean,prev_rate_down_payment_mean,prev_days_decision_mean,prev_approval_rate
100002,1,Cash loans,M,N,Y,0,202500.0,406597.5,24700.5,351000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637,-3648.0,-2120,1.0,2,2,WEDNESDAY,10,Business Entity Type 3,0.0830369673913225,0.2629485927471776,0.1393757800997895,-1134.0,1.0,25.90280629705681,1.7440109514031483,0,2.007888888888889,0.1219777777777777,1.1583974358974358,0.0673290349857309,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,865055.565,245781.0,0.0,31988.565,0.0,0.0,8405.145,-874.0,-1437.0,-103.0,-499.875,309.0,2.0,1.0,0.2841216332733493,1.0,1.0,0.0,179055.0,179055.0,9251.775,9.0,0.0,-606.0,1.0
100003,0,Cash loans,F,N,N,0,270000.0,1293502.5,35698.5,1129500.0,State servant,Higher education,Married,House / apartment,0.0035409999999999,-16765,-1188,-1186.0,-291,2.0,1,1,MONDAY,11,School,0.3112673113812225,0.6222457752555098,,-828.0,0.0,45.90006844626968,3.252566735112936,0,4.79075,0.1322166666666666,1.145199203187251,0.0708619147032508,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1017400.5,0.0,0.0,810000.0,0.0,0.0,0.0,-1400.75,-2586.0,-606.0,-816.0,1216.0,2.0,1.0,0.0,3.0,3.0,0.0,1306309.5,1452573.0,169661.97,14.666666666666666,0.0500302975712811,-1305.0,1.0
100004,0,Revolving loans,M,Y,Y,0,67500.0,135000.0,6750.0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-19046,-225,-4260.0,-2531,1.0,2,2,MONDAY,9,Government,,0.5559120833904428,0.7295666907060153,-815.0,0.0,52.145106091718,0.6160164271047228,0,2.0,0.1,1.0,0.0118135041478525,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,189037.8,0.0,0.0,0.0,0.0,0.0,0.0,-867.0,-1326.0,-408.0,-532.0,,1.0,1.0,0.0,1.0,1.0,0.0,24282.0,20106.0,5357.25,5.0,0.2120076030674443,-815.0,1.0
100006,0,Cash loans,F,N,Y,0,135000.0,312682.5,29686.5,297000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833.0,-2437,2.0,2,2,WEDNESDAY,17,Business Entity Type 3,,0.6504416904014653,,-617.0,,52.03285420944559,8.320328542094456,0,2.3161666666666667,0.2199,1.0528030303030302,0.1599052880820836,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,1.0,2449829.34,2625259.5,141907.05,14.666666666666666,0.1634121025409242,-272.44444444444446,0.5555555555555556
100007,0,Cash loans,M,N,Y,0,121500.0,513000.0,21865.5,513000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,-4311.0,-3458,1.0,2,2,THURSDAY,11,Religion,,0.3227382869704046,,-1106.0,0.0,54.57084188911704,8.317590691307323,0,4.222222222222222,0.1799629629629629,1.0,0.1524182219546458,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,146250.0,0.0,0.0,0.0,0.0,0.0,0.0,-1149.0,-1149.0,-1149.0,-783.0,,1.0,1.0,0.0,6.0,6.0,0.0,903181.5,999832.5,73672.83,12.333333333333334,0.1595164060251766,-1222.8333333333333,1.0
100008,0,Cash loans,M,N,Y,0,99000.0,490495.5,27517.5,454500.0,State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970.0,-477,2.0,2,2,WEDNESDAY,16,Other,,0.3542247319929012,0.6212263380626669,-2536.0,1.0,46.38193018480493,4.347707049965777,0,4.9545,0.2779545454545454,1.0791980198019802,0.0937370875391063,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,468445.5,240057.0,0.0,0.0,0.0,0.0,0.0,-757.3333333333334,-1097.0,-78.0,-611.0,471.0,1.0,1.0,0.5124544904369879,5.0,4.0,0.0,778509.0,813838.5,63358.785,12.0,0.0730507075001457,-1192.0,0.8
100009,0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0,1395000.0,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130,-1213.0,-619,3.0,2,2,SUNDAY,16,Business Entity Type 3,0.7747614130547695,0.7239998516953141,0.4920600938649263,-1562.0,2.0,37.72210814510609,8.569472963723477,0,9.127052631578948,0.2415263157894736,1.1188,0.2271737552620119,18.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,4800811.5,1077349.5,0.0,0.0,0.0,0.0,0.0,-1271.5,-2882.0,-239.0,-851.6111111111111,861.6666666666666,2.0,1.0,0.2244098732058111,7.0,7.0,0.0,537192.0,490963.5,70359.885,13.714285714285714,0.1266023051333171,-719.2857142857143,1.0
100010,0,Cash loans,M,Y,Y,0,360000.0,1530000.0,42075.0,1530000.0,State servant,Higher education,Married,House / apartment,0.0031219999999999,-18850,-449,-4597.0,-2379,2.0,3,3,MONDAY,16,Other,,0.7142792864482229,0.5406544504453575,-1070.0,0.0,51.60848733744011,1.2292950034223136,0,4.25,0.116875,1.0,0.0238196286472148,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,990000.0,348007.5,0.0,0.0,0.0,0.0,0.0,-1939.5,-2741.0,-1138.0,-578.0,689.0,2.0,1.0,0.3515227272727272,1.0,1.0,0.0,247212.0,260811.0,27463.41,16.0,0.0,-1070.0,1.0
100011,0,Cash loans,F,N,Y,0,112500.0,1019610.0,33826.5,913500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20099,365243,-7427.0,-3514,2.0,2,2,WEDNESDAY,14,XNA,0.5873340468730377,0.2057472880073281,0.7517237147741489,0.0,1.0,55.0280629705681,,1,9.0632,0.30068,1.1161576354679803,,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,435228.3,0.0,0.0,0.0,0.0,0.0,10147.23,-1773.0,-2508.0,-1309.0,-1454.75,,2.0,1.0,0.0,4.0,3.0,1.0,810931.5,1047361.5,54909.585,11.75,0.05000522275463,-1784.5,0.75
100012,0,Revolving loans,M,N,Y,0,135000.0,405000.0,20250.0,405000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.0196889999999999,-14469,-2019,-14437.0,-3992,1.0,2,2,THURSDAY,8,Electricity,,0.7466436294590924,,-1673.0,,39.61396303901437,5.5277207392197125,0,3.0,0.15,1.0,0.1395397055774414,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,243720.0,296478.0,23682.465,12.5,0.0,-779.75,0.75
100014,0,Cash loans,F,N,Y,1,112500.0,652500.0,21177.0,652500.0,Working,Higher education,Married,House / apartment,0.0228,-10197,-679,-4427.0,-738,3.0,2,2,SATURDAY,15,Medicine,0.3197601716755032,0.6518623334244781,0.363945238612397,-844.0,0.0,27.91786447638604,1.8590006844626967,0,5.8,0.18824,1.0,0.0665882122192801,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2729932.425,758214.0,0.0,0.0,0.0,0.0,22358.115,-1095.375,-2308.0,-376.0,-615.875,490.6666666666667,1.0,1.0,0.277740940785375,2.0,2.0,0.0,193072.5,205668.0,25613.1,13.5,0.0,-473.0,1.0
100015,0,Cash loans,F,N,Y,0,38419.155,148365.0,10678.5,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-20417,365243,-5246.0,-2512,2.0,2,2,FRIDAY,7,XNA,0.7220444501416448,0.5551831615131809,0.6528965519806539,-2396.0,2.0,55.898699520876114,,1,3.861745527719181,0.2779472895746926,1.099,,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,409495.5,0.0,0.0,0.0,0.0,0.0,0.0,-947.75,-1409.0,-319.0,-551.25,,1.0,1.0,0.0,1.0,1.0,0.0,68850.0,67077.0,7666.92,8.0,0.1013816677360118,-2396.0,1.0
100016,0,Cash loans,F,N,Y,0,67500.0,80865.0,5881.5,67500.0,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13439,-2717,-311.0,-3227,2.0,2,2,FRIDAY,10,Business Entity Type 2,0.4648311169632833,0.7150418188660659,0.1766525794312139,-2370.0,0.0,36.79397672826831,7.438740588637919,0,1.198,0.0871333333333333,1.198,0.2021727807128506,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,474984.0,63724.5,0.0,0.0,0.0,0.0,0.0,-618.4285714285714,-1634.0,-128.0,-405.8571428571428,381.75,2.0,1.0,0.1341613612247991,4.0,4.0,0.0,482980.5,424885.5,34372.619999999995,13.0,0.0816818181818181,-1779.5,1.0
100017,0,Cash loans,M,Y,N,1,225000.0,918468.0,28966.5,697500.0,Working,Secondary / secondary special,Married,House / apartment,0.016612,-14086,-3028,-643.0,-4911,3.0,2,2,THURSDAY,13,Self-employed,,0.5669066132460429,0.7700870700124128,-4.0,1.0,38.56536618754278,8.290212183436003,0,4.08208,0.12874,1.3168,0.2149652136873491,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,859770.0,0.0,0.0,0.0,0.0,0.0,0.0,-1944.3333333333333,-2881.0,-909.0,-1594.3333333333333,197.0,2.0,1.0,0.0,2.0,2.0,0.0,353331.0,351130.5,28750.815,16.5,0.1065294460046603,-1526.5,1.0
100018,0,Cash loans,F,N,Y,0,189000.0,773680.5,32778.0,679500.0,Working,Secondary / secondary special,Married,House / apartment,0.010006,-14583,-203,-615.0,-2056,2.0,2,1,MONDAY,9,Transport: type 2,0.7219397686622343,0.6426562048311103,,-188.0,,39.92607802874743,0.5557837097878165,0,4.093547619047619,0.1734285714285714,1.1386026490066226,0.0139203181787012,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,1193453.865,1143958.365,154678.815,15.25,0.0272292012927219,-755.25,1.0
100019,0,Cash loans,M,Y,Y,0,157500.0,299772.0,20160.0,247500.0,Working,Secondary / secondary special,Single / not married,Rented apartment,0.020713,-8728,-1157,-3494.0,-1368,1.0,3,3,SATURDAY,6,Business Entity Type 2,0.1156343372622997,0.34663398139668,0.6785676886853644,-925.0,1.0,23.89596167008898,3.167693360711841,0,1.9033142857142855,0.128,1.2112,0.1325618698441796,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,720000.0,245470.14,0.0,270000.0,54000.0,0.0,0.0,-495.0,-495.0,-495.0,-26.5,5441.0,2.0,1.0,0.34093075,1.0,1.0,0.0,84136.5,104683.5,10518.615,10.0,0.0,-925.0,1.0
100020,0,Cash loans,M,N,N,0,108000.0,509602.5,26149.5,387000.0,Working,Secondary / secondary special,Married,House / apartment,0.018634,-12931,-1317,-6392.0,-3866,2.0,2,2,THURSDAY,12,Government,,0.2363778398884225,0.0621030378372968,-3.0,0.0,35.403148528405204,3.605749486652977,0,4.718541666666667,0.242125,1.3168023255813954,0.1018482715953909,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,199485.0,123088.5,0.0,0.0,0.0,0.0,0.0,-261.5,-492.0,-90.0,-130.75,142.5,1.0,1.0,0.6170313557410332,2.0,2.0,0.0,78412.5,83412.0,14509.035,10.5,0.0,-357.5,1.0
100021,0,Revolving loans,F,N,Y,1,81000.0,270000.0,13500.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.010966,-9776,-191,-4143.0,-2427,3.0,2,2,MONDAY,10,Construction,,0.6835133461914255,,-2811.0,,26.765229295003422,0.5229295003422314,0,3.333333333333333,0.1666666666666666,1.0,0.0195376432078559,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,245767.5,921694.5,64116.99,15.666666666666666,0.1066061776681036,-943.8333333333334,1.0
100022,0,Revolving loans,F,N,Y,0,112500.0,157500.0,7875.0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,0.04622,-17718,-7804,-8751.0,-1259,1.0,1,1,FRIDAY,13,Housing,,0.7064284028871654,0.5567274263630174,-239.0,0.0,48.50924024640657,21.36618754277892,0,1.4,0.07,1.0,0.440456033412349,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1057500.0,205276.5,0.0,0.0,0.0,0.0,0.0,-337.0,-385.0,-289.0,-28.0,940.0,1.0,1.0,0.1941148936170212,1.0,1.0,0.0,89091.0,103203.0,6765.975,18.0,0.0,-239.0,1.0
100023,0,Cash loans,F,N,Y,1,90000.0,544491.0,17563.5,454500.0,State servant,Higher education,Single / not married,House / apartment,0.015221,-11348,-2038,-1021.0,-3964,2.0,2,2,MONDAY,12,Kindergarten,,0.5866171400119664,0.4776491548517548,-1850.0,2.0,31.069130732375086,5.579739904175223,0,6.0499,0.19515,1.198,0.1795911173775114,13.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,1645692.345,137038.5,0.0,0.0,0.0,0.0,8162.55,-1164.3846153846157,-2624.0,-157.0,-634.0769230769231,955.0,2.0,1.0,0.0832710320470014,4.0,4.0,0.0,394987.5,454068.0,35583.57,10.0,0.0986694520184929,-1215.75,1.0
100024,0,Revolving loans,M,Y,Y,0,135000.0,427500.0,21375.0,427500.0,Working,Secondary / secondary special,Married,House / apartment,0.015221,-18252,-4286,-298.0,-1800,2.0,2,2,FRIDAY,13,Self-employed,0.5656548824667073,0.113374512719927,,-296.0,,49.97125256673511,11.734428473648189,0,3.1666666666666665,0.1583333333333333,1.0,0.2348235809774271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100025,0,Cash loans,F,Y,Y,1,202500.0,1132573.5,37561.5,927000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14815,-1652,-2299.0,-2299,3.0,2,2,MONDAY,9,Trade: type 7,0.4377090198475417,0.2337669575081463,0.5424451438613613,0.0,4.0,40.56125941136208,4.522929500342231,0,5.592955555555555,0.1854888888888889,1.22176213592233,0.1115086061424232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2452500.0,1886544.0,0.0,0.0,0.0,0.0,0.0,-700.0,-700.0,-700.0,-49.0,1124.0,1.0,1.0,0.7692330275229358,8.0,7.0,0.0,2078362.755,2363406.255,193519.17,14.375,0.1057662298825576,-731.0,0.875
100026,0,Cash loans,F,N,N,1,450000.0,497520.0,32521.5,450000.0,Working,Secondary / secondary special,Married,Rented apartment,0.020713,-11146,-4306,-114.0,-2518,3.0,3,2,THURSDAY,6,Self-employed,,0.457142971588935,0.3589512285783967,-468.0,5.0,30.5160848733744,11.789185489390828,0,1.1056,0.07227,1.1056,0.3863269334290328,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5625000.0,3477814.38,0.0,0.0,0.0,0.0,0.0,-679.0,-1644.0,-148.0,-314.6666666666667,899.0,2.0,1.0,0.6182781119999999,3.0,2.0,0.0,807345.0,876843.0,66387.33,8.333333333333334,0.0,-682.3333333333334,0.6666666666666666
100027,0,Cash loans,F,N,Y,0,83250.0,239850.0,23850.0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.006296,-24827,365243,-9012.0,-3684,2.0,3,3,FRIDAY,12,XNA,,0.6243047373592765,0.6690566947824041,-795.0,3.0,67.97262149212868,,1,2.881081081081081,0.2864864864864865,1.066,,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,625297.5,376713.0,0.0,0.0,0.0,0.0,5130.0,-793.0,-1983.0,-143.0,-600.6666666666666,944.0,1.0,1.0,0.6024540318808247,4.0,2.0,1.0,654484.5,695182.5,72203.265,14.25,0.0,-407.0,0.5
100029,0,Cash loans,M,Y,N,2,135000.0,247500.0,12703.5,247500.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-11286,-746,-108.0,-3729,4.0,2,2,THURSDAY,14,Business Entity Type 3,,0.7861793090532118,0.5656079814115492,-4.0,0.0,30.899383983572896,2.0424366872005475,0,1.8333333333333333,0.0941,1.0,0.0660995924153819,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7428033.0,3682287.0,0.0,0.0,0.0,0.0,0.0,-1416.75,-2806.0,-110.0,-1041.75,1563.0,2.0,1.0,0.4957284115458291,1.0,1.0,0.0,126000.0,126000.0,22891.68,18.0,0.0,-324.0,1.0
100030,0,Cash loans,F,N,Y,0,90000.0,225000.0,11074.5,225000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19334,-3494,-2419.0,-2893,2.0,2,2,SATURDAY,8,Business Entity Type 3,0.5619484093041138,0.6514056365297631,0.4614823912998385,0.0,0.0,52.93360711841205,9.566050650239562,0,2.5,0.12305,1.0,0.1807179062790938,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,643430.97,451642.5,0.0,25656.03,0.0,0.0,0.0,-930.8333333333334,-1547.0,-418.0,-411.1666666666667,823.5,2.0,1.0,0.7019284446317529,12.0,2.0,10.0,401967.225,390415.725,37848.33,12.5,0.0448038956543629,-1981.0833333333333,0.1666666666666666
100031,1,Cash loans,F,N,Y,0,112500.0,979992.0,27076.5,702000.0,Working,Secondary / secondary special,Widow,House / apartment,0.018029,-18724,-2628,-6573.0,-1827,1.0,3,2,MONDAY,9,Business Entity Type 3,,0.5484771599678789,0.190705947811054,-161.0,2.0,51.26351813826147,7.195071868583162,0,8.71104,0.24068,1.396,0.1403546250801111,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3970651.5,1125000.0,0.0,0.0,0.0,0.0,0.0,-579.5714285714286,-1365.0,-75.0,-266.2857142857143,653.0,2.0,1.0,0.2833288189608179,,,,,,,,,,
100032,0,Cash loans,M,N,Y,1,112500.0,327024.0,23827.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15948,-1234,-5782.0,-3153,3.0,2,2,SATURDAY,10,Industry: type 11,,0.5411237022695412,0.6594055320683344,-2.0,0.0,43.66324435318276,3.378507871321013,0,2.90688,0.2118,1.2112,0.0773764735390017,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1271160.0,0.0,0.0,0.0,69750.0,0.0,0.0,-1071.0,-1389.0,-556.0,-436.75,,1.0,1.0,0.0,1.0,1.0,0.0,69255.0,42255.0,7910.145,10.0,0.4245968456494773,-1497.0,1.0
100033,0,Cash loans,M,Y,Y,0,270000.0,790830.0,57676.5,675000.0,State servant,Higher education,Single / not married,House / apartment,0.04622,-9994,-1796,-4668.0,-2661,1.0,1,1,WEDNESDAY,11,Military,0.6003959050009468,0.6850109901296888,0.524496446363472,-849.0,1.0,27.362080766598226,4.917180013689254,0,2.929,0.2136166666666666,1.1716,0.1797078246948169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,675000.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.0,-195.0,-195.0,-169.0,913.0,1.0,1.0,0.0,1.0,1.0,0.0,53599.5,53329.5,5542.92,14.0,0.0995320373868253,-849.0,1.0
100034,0,Revolving loans,M,N,Y,0,90000.0,180000.0,9000.0,180000.0,Working,Higher education,Single / not married,With parents,0.030755,-10341,-1010,-4799.0,-3015,1.0,2,2,TUESDAY,16,Business Entity Type 3,0.2979135090150507,0.5027790378786304,,-599.0,,28.31211498973306,2.7652292950034223,0,2.0,0.1,1.0,0.0976694710376172,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,215955.0,225054.0,43711.56,15.0,0.1039669070716359,-443.5,1.0
100035,0,Cash loans,F,N,Y,0,292500.0,665892.0,24592.5,477000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-15280,-2668,-5266.0,-3787,2.0,2,2,WEDNESDAY,13,Business Entity Type 3,,0.479987342189869,0.4101025731788671,-1634.0,5.0,41.83436002737851,7.304585900068446,0,2.2765538461538464,0.084076923076923,1.396,0.1746073298429319,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3545085.42,2054371.5,0.0,0.0,0.0,0.0,55040.265,-1399.3333333333333,-2723.0,-184.0,-915.3333333333334,3279.25,2.0,1.0,0.5794984483053726,22.0,8.0,8.0,3429022.5,3559342.5,189857.52,12.227272727272728,0.0628375515238063,-558.1818181818181,0.3636363636363636
